CRM ID,SBU,Qtr of closure,Deal Status,Account Name,Opportunity Name,Expected TCV ($Mn),Deal Size bucket,Type of Business,Primary L1,Primary L2,Secondary L1,Secondary L2,Tertiary L1,Tertiary L2,Detailed Remarks,Bid Qualification (BQ)  Score,Winnability/ BQ  Feedback,SBU Head Involved,SL Heads Involved,Were we the lowest price? Y/N,Bid Timeline,Bid-Team size,Deal Scope,DD,EA,Client Partner/ Opp. Owner,BM
CRM300001,APJ,Q4'24,Aborted,HSBC,Opportunity 1,39.82,<250M,EE,Solution,Availability of SMEs,Relationship,Quality of RFP/ Proactive Deal sourcing,Strategic_Initiatives,Mahindra Group leverage,Aborted due to qualification issues or lack of alignment in mahindra group leverage.,,,,,N,Q2'25,0,,,,,
CRM300002,IMEA,Q2'25,Lost,Etihad,Opportunity 2,43.6,<250M,NN,Solution,Cookie cutter solutions for commoditised services vis-à-vis peers,Commercials,Pricing model innovation/ Commercial Structure,Capability_or_Credentials,Analyst Quadrant/ Brand Perception,Lost due to gaps in cookie cutter solutions for commoditised services vis-à-vis peers and competitive pressure on pricing model innovation/ commercial structure.,,,,,N,Q2'25,0,,,,,
CRM300003,ASV,Q1'24,Aborted,GSK,Opportunity 3,21.99,<250M,EN,Relationship,Analyst/ TPA Relations,Solution,"Technical Response Quality (coherent, competitive, consultative, competitive)",Solution,PoV/ Thought Leadership,Aborted due to qualification issues or lack of alignment in pov/ thought leadership.,,,,,N,Q2'25,0,,,,,
CRM300004,IMEA,Q2'25,Won,Etihad,Opportunity 4,12.13,<250M,NN,Solution,Business value proposition,Capability_or_Credentials,Local Presence,Capability_or_Credentials,Local Presence,Won due to strong solution and compelling capability_or_credentials story. TCV $23.69 validated.,,,,,Y,Q3'25,0,,,,,
CRM300005,IMEA,Q4'24,Aborted,Cadent,Opportunity 5,43.71,<250M,NN,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Relationship,"Client Relationship (CXOs, decision makers, influencers)",Relationship,Quality 360° Deal Intelligence/Validation (incl win price),Aborted due to qualification issues or lack of alignment in quality 360° deal intelligence/validation (incl win price).,,,,,N,Q2'25,0,,,,,
CRM300006,IMEA,Q3'25,Lost,MOHRE,Opportunity 6,25.91,<250M,EE,Relationship,Quality 360° Deal Intelligence/Validation (incl win price),Commercials,Cost & Rate benchmarks not available/non-standardised across org,Capability_or_Credentials,Language/  Regional/ Gender Diversity,Lost due to gaps in quality 360° deal intelligence/validation (incl win price) and competitive pressure on cost & rate benchmarks not available/non-standardised across org.,,,,,Y,Q1'25,0,,,,,
CRM300007,Europe,Q3'25,Lost,Cummins,Opportunity 7,63.5,<250M,NN,Solution,Availability of SMEs,Capability_or_Credentials,Delivery Readiness (incl local presence),Solution,Orals Performance,Lost due to gaps in availability of smes and competitive pressure on delivery readiness (incl local presence).,,,,,N,Q1'25,0,,,,,
CRM300008,Europe,Q2'24,Lost,Cummins,Opportunity 8,99.42,<250M,NN,Capability_or_Credentials,Language/  Regional/ Gender Diversity,Solution,Availability of SMEs,Solution,"Technical Response Quality (coherent, competitive, consultative, competitive)",Lost due to gaps in language/  regional/ gender diversity and competitive pressure on availability of smes.,,,,,Y,Q1'25,0,,,,,
CRM300009,ASV,Q1'25,Lost,GSK,Opportunity 9,66.79,<250M,EE,Solution,"Process issues (Bid management, reviews, timeline available)",Solution,"Technical Response Quality (coherent, competitive, consultative, competitive)",Capability_or_Credentials,Domain/ Functional Expertise / Industry trends,"Lost due to gaps in process issues (bid management, reviews, timeline available) and competitive pressure on technical response quality (coherent, competitive, consultative, competitive).",,,,,N,Q1'25,0,,,,,
CRM300010,IMEA,Q2'24,Lost,Cadent,Opportunity 10,19.31,<250M,EE,Relationship,Quality 360° Deal Intelligence/Validation (incl win price),Commercials,Strong Business case/ Savings,Commercials,Deviation/fit to win price,Lost due to gaps in quality 360° deal intelligence/validation (incl win price) and competitive pressure on strong business case/ savings.,,,,,Y,Q1'25,0,,,,,
CRM300011,IMEA,Q1'25,Won,Etihad,Opportunity 11,48.21,<250M,NN,Strategic_Initiatives,Customer GTM Growth,Capability_or_Credentials,Delivery Readiness (incl local presence),Capability_or_Credentials,Local Presence,Won due to strong strategic_initiatives and compelling capability_or_credentials story. TCV $10.68 validated.,,,,,N,Q2'25,0,,,,,
CRM300012,Europe,Q3'25,Lost,MOHRE,Opportunity 12,11.57,<250M,EN,Capability_or_Credentials,Local Presence,Relationship,Quality of RFP/ Proactive Deal sourcing,Commercials,Pricing model innovation/ Commercial Structure,Lost due to gaps in local presence and competitive pressure on quality of rfp/ proactive deal sourcing.,,,,,Y,Q2'25,0,,,,,
CRM300013,ASV,Q3'25,Lost,MOHRE,Opportunity 13,87.06,<250M,NN,Strategic_Initiatives,Mahindra Group leverage,Capability_or_Credentials,Analyst Quadrant/ Brand Perception,Relationship,"Competition and Incumbency (strategic, CSAT, delivery track record)",Lost due to gaps in mahindra group leverage and competitive pressure on analyst quadrant/ brand perception.,,,,,Y,Q3'25,0,,,,,
CRM300014,APJ,Q1'24,Aborted,Cummins,Opportunity 14,24.9,<250M,NN,Relationship,Quality 360° Deal Intelligence/Validation (incl win price),Strategic_Initiatives,Customer GTM Growth,Strategic_Initiatives,Customer GTM Growth,Aborted due to qualification issues or lack of alignment in customer gtm growth.,,,,,Y,Q2'25,0,,,,,
CRM300015,ASV,Q3'25,Won,GSK,Opportunity 15,26.66,<250M,EE,Relationship,Analyst/ TPA Relations,Capability_or_Credentials,Local Presence,Commercials,Strong Business case/ Savings,Won due to strong relationship and compelling capability_or_credentials story. TCV $82.94 validated.,,,,,Y,Q3'25,0,,,,,
CRM300016,ASV,Q1'25,Won,Cummins,Opportunity 16,12.72,<250M,NN,Relationship,Quality of RFP/ Proactive Deal sourcing,Capability_or_Credentials,Delivery Readiness (incl local presence),Capability_or_Credentials,Language/  Regional/ Gender Diversity,Won due to strong relationship and compelling capability_or_credentials story. TCV $8.99 validated.,,,,,Y,Q4'25,0,,,,,
CRM300017,ASV,Q2'24,Lost,Cummins,Opportunity 17,37.45,<250M,NN,Relationship,Analyst/ TPA Relations,Relationship,Deal Coach availability/ fit,Solution,Business value proposition,Lost due to gaps in analyst/ tpa relations and competitive pressure on deal coach availability/ fit.,,,,,N,Q1'25,0,,,,,
CRM300018,Europe,Q3'25,Won,Cadent,Opportunity 18,60.82,<250M,EN,Relationship,Alliances/ Partners fit,Solution,Business value proposition,Strategic_Initiatives,Mahindra Group leverage,Won due to strong relationship and compelling solution story. TCV $63.7 validated.,,,,,Y,Q4'25,0,,,,,
CRM300019,APJ,Q4'24,Aborted,Cummins,Opportunity 19,20.38,<250M,NN,Commercials,Effort estimation methodology,Capability_or_Credentials,Language/  Regional/ Gender Diversity,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Aborted due to qualification issues or lack of alignment in strong outcome-based deal strategy.,,,,,N,Q1'25,0,,,,,
CRM300020,APJ,Q4'24,Won,GSK,Opportunity 20,36.12,<250M,EN,Strategic_Initiatives,Mahindra Group leverage,Strategic_Initiatives,Customer GTM Growth,Capability_or_Credentials,Language/  Regional/ Gender Diversity,Won due to strong strategic_initiatives and compelling strategic_initiatives story. TCV $23.15 validated.,,,,,Y,Q4'25,0,,,,,
CRM300021,ASV,Q4'24,Aborted,HSBC,Opportunity 21,18.9,<250M,NN,Solution,PoV/ Thought Leadership,Relationship,Quality of RFP/ Proactive Deal sourcing,Commercials,Incumbency advantage/discounting,Aborted due to qualification issues or lack of alignment in incumbency advantage/discounting.,,,,,N,Q3'25,0,,,,,
CRM300022,Europe,Q3'25,Won,Cadent,Opportunity 22,30.79,<250M,EE,Strategic_Initiatives,Strong Outcome-based Deal Strategy,Commercials,Optimized partner Rate cards,Strategic_Initiatives,Customer GTM Growth,Won due to strong strategic_initiatives and compelling commercials story. TCV $63.78 validated.,,,,,Y,Q3'25,0,,,,,
